state,district,net_gw_availability_ham,net_gw_irrigation_ham,stage_pct,category
Bihar,Vaishali,72160.0,36052.0,57.0,Safe
Bihar,West Champaran,142518.0,31903.0,27.0,Safe
Chhattisgarh,Baster,93139.0,8510.0,13.0,Safe
Chhattisgarh,Bijapur,77801.0,775.0,2.0,Safe
Chhattisgarh,Bilaspur,60948.0,24371.0,47.0,Safe
Chhattisgarh,Dantewara,50119.0,1976.0,6.0,Safe
Chhattisgarh,Dhamtari,46163.0,33230.0,78.0,Semi-Critical
Chhattisgarh,Durg,82013.0,48856.0,69.0,Safe
Chhattisgarh,Janjgir Champa,36770.0,11940.0,42.0,Safe
Chhattisgarh,Jashpur,47418.0,14607.0,35.0,Safe
Chhattisgarh,Kanker,85481.0,16399.0,21.0,Safe
Chhattisgarh,Kawardha,34281.0,20872.0,66.0,Safe
Chhattisgarh,Korba,46285.0,9664.0,32.0,Safe
Chhattisgarh,Koriya,50954.0,9994.0,23.0,Safe
Chhattisgarh,Mahasamund,59813.0,24228.0,47.0,Safe
Chhattisgarh,Narayanpur,28759.0,381.0,3.0,Safe
Chhattisgarh,Raigarh,40278.0,17574.0,53.0,Safe
Chhattisgarh,Raipur,115768.0,40069.0,43.0,Safe
Chhattisgarh,Rajnandgaon,43092.0,21529.0,58.0,Safe
Chhattisgarh,Surguja,163702.0,38144.0,27.0,Safe
Delhi,Darya Ganj,234.0,41.0,59.0,Safe
Delhi,Karol Bagh,40.0,10.0,137.0,Over-Exploited
Delhi,Pahar Ganj,72.0,0.0,137.0,Over-Exploited
Delhi,Gandhi Nagar,357.0,96.0,80.0,Semi-Critical
Delhi,Preet Vihar,604.0,691.0,243.0,Over-Exploited
Delhi,Vivek Vihar,227.0,57.0,164.0,Over-Exploited
Delhi,Chanakay Puri,353.0,300.0,96.0,Critical
Delhi,Connaught Place,189.0,125.0,79.0,Semi-Critical
Delhi,Parliament Street,175.0,128.0,91.0,Critical
Delhi,Civil Lines,1223.0,86.0,62.0,Safe
Delhi,Kotwali,128.0,53.0,118.0,Over-Exploited
Delhi,Sadar Bazar,49.0,0.0,110.0,Over-Exploited
Delhi,Seelam Pur,873.0,329.0,85.0,Semi-Critical
Delhi,Seema Puri,120.0,0.0,223.0,Over-Exploited
Delhi,Shahdra,143.0,0.0,201.0,Over-Exploited
Delhi,Model Town,476.0,70.0,178.0,Over-Exploited
Delhi,Narela,4859.0,1973.0,77.0,Semi-Critical
Delhi,Saraswati Vihar,2689.0,1239.0,165.0,Over-Exploited
Delhi,Defence Colony,1035.0,299.0,130.0,Over-Exploited
Delhi,Hauz Khas,1523.0,467.0,234.0,Over-Exploited
Delhi,Kalkaji,1565.0,1127.0,200.0,Over-Exploited
Delhi,Delhi Cantonment,803.0,369.0,230.0,Over-Exploited
Delhi,Najafgarh,6661.0,5787.0,126.0,Over-Exploited
Delhi,Vasant Vihar,1663.0,304.0,153.0,Over-Exploited
Delhi,Patel Nagar,1014.0,74.0,192.0,Over-Exploited
Delhi,Panjabi Bagh,1307.0,381.0,93.0,Critical
Delhi,Rajouri Garden,331.0,18.0,269.0,Over-Exploited
Goa,North Goa,8554.0,778.0,30.0,Safe
Goa,South Goa,5989.0,228.0,26.0,Safe
Gujarat,Ahmedabad,58309.0,38491.0,78.0,Semi-Critical
Gujarat,Amreli,76794.0,46774.0,64.0,Safe
Gujarat,Anand,74340.0,33888.0,52.0,Safe
Gujarat,Banaskantha,107787.0,109620.0,107.0,Over-Exploited
Gujarat,Bharuch,38870.0,16182.0,47.0,Safe
Gujarat,Bhavnagar,89566.0,51733.0,64.0,Safe
Gujarat,Dang,8648.0,902.0,17.0,Safe
Gujarat,Dohad,35392.0,13256.0,50.0,Safe
Gujarat,Gandhinagar,45300.0,51272.0,120.0,Over-Exploited
Gujarat,Jamnagar,85513.0,50412.0,64.0,Safe
Gujarat,Junagadh,130366.0,73356.0,62.0,Safe
Gujarat,Kachchh,79621.0,58927.0,79.0,Semi-Critical
Gujarat,Kheda,74011.0,41345.0,64.0,Safe
Gujarat,Mahesana,83624.0,91506.0,116.0,Over-Exploited
Gujarat,Narmada,21494.0,4826.0,30.0,Safe
Gujarat,Navsari,38518.0,16249.0,48.0,Safe
Gujarat,Panchmahals,70242.0,23568.0,41.0,Safe
Gujarat,Patan,25258.0,28978.0,122.0,Over-Exploited
Gujarat,Porbandar,19705.0,13278.0,72.0,Semi-Critical
Gujarat,Rajkot,145183.0,87049.0,65.0,Safe
Gujarat,Sabarkantha,118637.0,80640.0,73.0,Semi-Critical
Gujarat,Surat,81352.0,30197.0,45.0,Safe
Gujarat,Surendranagar,62987.0,34561.0,60.0,Safe
Gujarat,Tapi,33701.0,9633.0,33.0,Safe
Gujarat,Vadodara,119682.0,56601.0,54.0,Safe
Gujarat,Valsad,33640.0,11521.0,42.0,Safe
Haryana,Ambala,53252.0,38323.0,86.0,Semi-Critical
Haryana,Panchkula,13918.0,8464.0,81.0,Semi-Critical
