state,district,monsoon_recharge_rainfall,monsoon_recharge_other,nonmonsoon_recharge_rainfall,nonmonsoon_recharge_other,total_recharge_ham,natural_discharge_ham,net_gw_availability_ham,gw_draft_irrigation_ham,gw_draft_domestic_ind_ham,gw_draft_total_ham,projected_demand_2025_ham,net_gw_future_irrigation_ham,stage_pct,category
Odisha,Sambalpur,34746.0,10749.0,0.0,10989.0,56484.0,3964.0,52520.0,5941.0,2594.0,8535.0,3181.0,43398.0,16.0,Safe
Odisha,Subarnapur,17161.0,2348.0,607.0,2531.0,22647.0,1218.0,21429.0,2970.0,1273.0,4243.0,1606.0,16853.0,20.0,Safe
Odisha,Sundergarh,65419.0,9060.0,0.0,7621.0,82100.0,4775.0,77325.0,12471.0,4628.0,17099.0,5389.0,59465.0,22.0,Safe
Punjab,Amritsar,31831.0,73083.0,8390.0,23767.0,137072.0,13707.0,123365.0,217150.0,5008.0,222158.0,7810.0,-101596.0,180.0,Over-Exploited
Punjab,Barnala,12058.0,34679.0,2239.0,16512.0,65488.0,6549.0,58939.0,118878.0,1254.0,120132.0,1839.0,-61778.0,204.0,Over-Exploited
Punjab,Bathinda,27051.0,37913.0,5030.0,41144.0,111138.0,9458.0,101681.0,118446.0,3005.0,121452.0,4500.0,-21266.0,119.0,Over-Exploited
Punjab,Faridkot,12575.0,35926.0,2187.0,17158.0,67846.0,6785.0,61061.0,95603.0,1943.0,97546.0,1943.0,-36485.0,160.0,Over-Exploited
Punjab,Fateh Garh Sahib,16209.0,30474.0,3685.0,9542.0,59910.0,5991.0,53919.0,111180.0,2076.0,113256.0,2702.0,-59963.0,210.0,Over-Exploited
Punjab,Ferozepur,40799.0,114703.0,8670.0,46442.0,210614.0,21061.0,189552.0,275576.0,3375.0,278951.0,4989.0,-91013.0,147.0,Over-Exploited
Punjab,Gurdaspur,57702.0,92053.0,15253.0,31224.0,196232.0,18612.0,177621.0,219741.0,6637.0,226378.0,9313.0,-51433.0,127.0,Over-Exploited
Punjab,Hoshiarpur,48029.0,27202.0,12219.0,11075.0,98525.0,8752.0,89774.0,87047.0,4917.0,91963.0,6248.0,-3522.0,102.0,Over-Exploited
Punjab,Jalandhar,36096.0,61810.0,8341.0,24282.0,130529.0,13053.0,117476.0,267002.0,4729.0,271731.0,6813.0,-156339.0,231.0,Over-Exploited
Punjab,Kapurthala,21559.0,38424.0,5914.0,7458.0,73355.0,7335.0,66019.0,150588.0,3900.0,154488.0,4693.0,-89261.0,234.0,Over-Exploited
Punjab,Ludhiana,48155.0,110670.0,10141.0,62300.0,231265.0,23127.0,208139.0,336828.0,11229.0,348057.0,16442.0,-145131.0,167.0,Over-Exploited
Punjab,Mansa,17834.0,35437.0,3586.0,20529.0,77386.0,7739.0,69647.0,144741.0,13.0,144754.0,13.0,-75107.0,208.0,Over-Exploited
Punjab,Moga,21876.0,77174.0,4277.0,30642.0,133969.0,13397.0,120572.0,242148.0,1802.0,243949.0,2378.0,-123953.0,202.0,Over-Exploited
Punjab,Muktsar,20934.0,28256.0,3921.0,33460.0,86571.0,8657.0,77914.0,51625.0,2460.0,54085.0,2460.0,23829.0,69.0,Safe
Punjab,Nawan Shahr,20248.0,28986.0,4971.0,15512.0,69718.0,6972.0,62746.0,70742.0,1515.0,72256.0,1887.0,-9883.0,115.0,Over-Exploited
Punjab,Patiala,44007.0,79988.0,9392.0,32670.0,166056.0,16606.0,149451.0,288631.0,4348.0,292979.0,6675.0,-145855.0,196.0,Over-Exploited
Punjab,Ropar,18731.0,13350.0,4327.0,9215.0,45623.0,3794.0,41829.0,43775.0,2384.0,46159.0,3191.0,-5136.0,110.0,Over-Exploited
Punjab,Mohali,19496.0,4665.0,4263.0,2113.0,30538.0,3054.0,27484.0,23576.0,4618.0,28194.0,5535.0,-1626.0,103.0,Over-Exploited
Punjab,Sangrur,40154.0,76431.0,9016.0,19456.0,145057.0,14506.0,130551.0,366396.0,3031.0,369427.0,4445.0,-240290.0,283.0,Over-Exploited
Punjab,Tarn Taran,27149.0,62516.0,7297.0,19040.0,116002.0,11600.0,104402.0,187566.0,2664.0,190230.0,4217.0,-87381.0,182.0,Over-Exploited
Rajasthan,Ajmer,27610.0,1489.0,0.0,6412.0,35511.0,3305.0,32206.0,41547.0,4691.0,46238.0,4691.0,0.0,144.0,Over-Exploited
Rajasthan,Alwar,57442.0,3380.0,7575.0,11154.0,79551.0,6382.0,73169.0,121552.0,9566.0,131118.0,9595.0,399.0,179.0,Over-Exploited
Rajasthan,Banswara,10540.0,1050.0,0.0,14171.0,25761.0,2696.0,23066.0,9231.0,1961.0,11192.0,2853.0,10982.0,49.0,Safe
Rajasthan,Baran,36263.0,5759.0,279.0,9666.0,51967.0,4804.0,47163.0,52596.0,3938.0,56534.0,4475.0,5562.0,120.0,Over-Exploited
Rajasthan,Barmer,25196.0,622.0,0.0,1435.0,27253.0,2524.0,24729.0,23901.0,6766.0,30666.0,6847.0,2117.0,124.0,Over-Exploited
Rajasthan,Bharatpur,36864.0,2580.0,1672.0,8134.0,49250.0,4314.0,44936.0,45839.0,6378.0,52218.0,6569.0,396.0,116.0,Over-Exploited
Rajasthan,Bhilwara,33176.0,2310.0,0.0,10945.0,46431.0,4476.0,41955.0,50198.0,3980.0,54178.0,3980.0,0.0,129.0,Over-Exploited
Rajasthan,Bikaner,24004.0,235.0,0.0,1026.0,25265.0,1263.0,24001.0,25867.0,8374.0,34241.0,9033.0,4011.0,143.0,Over-Exploited
Rajasthan,Bundi,22293.0,2754.0,0.0,17217.0,42265.0,5970.0,36295.0,33669.0,2711.0,36380.0,3472.0,5328.0,100.0,Critical
Rajasthan,Chittorgarh,25898.0,1833.0,0.0,7546.0,35276.0,3417.0,31860.0,43227.0,1379.0,44606.0,1379.0,0.0,140.0,Over-Exploited
Rajasthan,Churu,14101.0,0.0,0.0,0.0,14101.0,705.0,13395.0,9445.0,2408.0,11854.0,4398.0,3096.0,88.0,Semi-Critical
Rajasthan,Dausa,21700.0,1186.0,343.0,3145.0,26373.0,2620.0,23753.0,37886.0,2487.0,40374.0,2487.0,0.0,170.0,Over-Exploited
Rajasthan,Dholpur,21430.0,1383.0,0.0,5499.0,28312.0,2382.0,25930.0,30706.0,2526.0,33233.0,2576.0,1596.0,128.0,Over-Exploited
Rajasthan,Dungarpur,7986.0,1211.0,0.0,4906.0,14103.0,1291.0,12812.0,8396.0,882.0,9278.0,4416.0,0.0,72.0,Semi-Critical
